Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Birthday of Miranda Richardson (Rita Skeeter),3/3/2017,12:00 AM,3/3/2017,12:00 AM,TRUE,,,FALSE
Birthday of Katherine Waterston (Tina Goldstein in FBAWTFT),3/3/2017,12:00 AM,3/3/2017,12:00 AM,TRUE,,,FALSE
Birthday of Sybill Trelawney,3/9/2017,12:00 AM,3/9/2017,12:00 AM,TRUE,,,FALSE
Birthday of Remus Lupin,3/10/2017,12:00 AM,3/10/2017,12:00 AM,TRUE,,,FALSE
Birthday of Harry Melling (Dudley Dursley),3/13/2017,12:00 AM,3/13/2017,12:00 AM,TRUE,,,FALSE
Birthday of Anna Shaffer (Romilda Vane),3/15/2017,12:00 AM,3/15/2017,12:00 AM,TRUE,,,FALSE
Birthday of Sean Biggerstaff (Oliver Wood),3/15/2017,12:00 AM,3/15/2017,12:00 AM,TRUE,,,FALSE
Birthday of David Thewlis (Remus Lupin),3/20/2017,12:00 AM,3/20/2017,12:00 AM,TRUE,,,FALSE
Birthday of Gary Oldman (Sirius Black),3/21/2017,12:00 AM,3/21/2017,12:00 AM,TRUE,,,FALSE
Birthday of Leilah Sutherland (Alicia Spinnet),3/22/2017,12:00 AM,3/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Christopher Rithin (Dennis),3/24/2017,12:00 AM,3/24/2017,12:00 AM,TRUE,,,FALSE
Birthday of Lauren Shotton (Pansy Parkinson),3/26/2017,12:00 AM,3/26/2017,12:00 AM,TRUE,,,FALSE
Birthday of Daphne De Beistegui (Lily Luna Potter),3/26/2017,12:00 AM,3/26/2017,12:00 AM,TRUE,,,FALSE
Birthday of Adrian Rawlins (James Potter),3/27/2017,12:00 AM,3/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of James Potter,3/27/2017,12:00 AM,3/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of Alex Crockford (Charlie Weasley),3/28/2017,12:00 AM,3/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Brendan Gleeson (Alastor Moody),3/29/2017,12:00 AM,3/29/2017,12:00 AM,TRUE,,,FALSE
Birthday of Robbie Coltrane (Rubeus Hagrid),3/30/2017,12:00 AM,3/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Fred and George Weasley,4/1/2017,12:00 AM,4/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Kathryn Hunter (Arabella Figg),4/9/2017,12:00 AM,4/9/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ron Perlman (Gnarlak in FBAWTFT),4/13/2017,12:00 AM,4/13/2017,12:00 AM,TRUE,,,FALSE
Birthday of Julie Christie (Madam Rosmerta),4/14/2017,12:00 AM,4/14/2017,12:00 AM,TRUE,,,FALSE
Birthday of Arthur Bower (Albus Severus Potter),4/14/2017,12:00 AM,4/14/2017,12:00 AM,TRUE,,,FALSE
Birthday of Emma Watson (Hermione Granger),4/15/2017,12:00 AM,4/15/2017,12:00 AM,TRUE,,,FALSE
Birthday of Emma Thompson (Sybill Trelawney),4/15/2017,12:00 AM,4/15/2017,12:00 AM,TRUE,,,FALSE
Birthday of David Bradley (Argus Filch),4/17/2017,12:00 AM,4/17/2017,12:00 AM,TRUE,,,FALSE
Birthday of David Tennant (Barty Crouch Jr.),4/18/2017,12:00 AM,4/18/2017,12:00 AM,TRUE,,,FALSE
Birthday of Leslie Phillips (Voice of Sorting Hat),4/20/2017,12:00 AM,4/20/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jade Gordon (Astoria Malfoy),4/24/2017,12:00 AM,4/24/2017,12:00 AM,TRUE,,,FALSE
Birthday of Horace Slughorn,4/28/2017,12:00 AM,4/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Bertie Gilbert (Scorpius Malfoy),5/1/2017,12:00 AM,5/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Griphook,5/1/2017,12:00 AM,5/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Victoire Weasley,5/2/2017,12:00 AM,5/2/2017,12:00 AM,TRUE,,,FALSE
Birthday of Eric Sykes (Frank Bryce),5/4/2017,12:00 AM,5/4/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jessie Cave (Lavender Brown),5/5/2017,12:00 AM,5/5/2017,12:00 AM,TRUE,,,FALSE
Birthday of Pam Ferris (Marge Dursley),5/11/2017,12:00 AM,5/11/2017,12:00 AM,TRUE,,,FALSE
Birthday of Domhnall Gleeson (Bill Weasley),5/12/2017,12:00 AM,5/12/2017,12:00 AM,TRUE,,,FALSE
Birthday of Zoe Wanamaker (Madame Hooch),5/13/2017,12:00 AM,5/13/2017,12:00 AM,TRUE,,,FALSE
Birthday of Robert Pattinson (Cedric Diggory),5/13/2017,12:00 AM,5/13/2017,12:00 AM,TRUE,,,FALSE
Birthday of Samantha Morton (Mary Lou in FBAWTFT),5/13/2017,12:00 AM,5/13/2017,12:00 AM,TRUE,,,FALSE
Birthday of Pomona Sprout,5/15/2017,12:00 AM,5/15/2017,12:00 AM,TRUE,,,FALSE
Birthday of Stanislav Yanevski (Viktor Krum),5/16/2017,12:00 AM,5/16/2017,12:00 AM,TRUE,,,FALSE
Birthday of Paul Whitehouse (Sir Cadogan),5/17/2017,12:00 AM,5/17/2017,12:00 AM,TRUE,,,FALSE
Birthday of Miriam Margolyes (Professor Sprout),5/18/2017,12:00 AM,5/18/2017,12:00 AM,TRUE,,,FALSE
Birthday of Geraldine Somerville (Lily Evans Potter),5/19/2017,12:00 AM,5/19/2017,12:00 AM,TRUE,,,FALSE
Birthday of Philip Selway (Orsino Thruston),5/23/2017,12:00 AM,5/23/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jim Broadbent (Horace Slughorn),5/24/2017,12:00 AM,5/24/2017,12:00 AM,TRUE,,,FALSE
Birthday of Helena Bonham Carter (Bellatrix Lestrange),5/26/2017,12:00 AM,5/26/2017,12:00 AM,TRUE,,,FALSE
Birthday of Colin Farrell (Percival Graves in FBAWTFT),5/31/2017,12:00 AM,5/31/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jamie Marks (Ernie Macmillian),6/3/2017,12:00 AM,6/3/2017,12:00 AM,TRUE,,,FALSE
Birthday of Draco Malfoy,6/5/2017,12:00 AM,6/5/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jason Isaacs (Lucius Malfoy),6/6/2017,12:00 AM,6/6/2017,12:00 AM,TRUE,,,FALSE
Birthday of Luke Youngblood (Lee Jordan),6/12/2017,12:00 AM,6/12/2017,12:00 AM,TRUE,,,FALSE
Birthday of Shefali Chowdhury (Parvati Patil),6/20/2017,12:00 AM,6/20/2017,12:00 AM,TRUE,,,FALSE
Birthday of Dudley Dursley,6/23/2017,12:00 AM,6/23/2017,12:00 AM,TRUE,,,FALSE
Birthday of Matthew Lewis (Neville Longbottom),6/27/2017,12:00 AM,6/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of Dobby,6/28/2017,12:00 AM,6/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Predrag Bjelac (Igor Karkaroff),6/30/2017,12:00 AM,6/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Edward Rundell (Justin Finch-Fletchley),7/2/2017,12:00 AM,7/2/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ryan Turner (Hugo Weasley),7/4/2017,12:00 AM,7/4/2017,12:00 AM,TRUE,,,FALSE
Birthday of David O'Hara (Albert Runcorn),7/9/2017,12:00 AM,7/9/2017,12:00 AM,TRUE,,,FALSE
Birthday of Fiona Shaw (Petunia Dursley),7/10/2017,12:00 AM,7/10/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jeff Rawle (Amos Diggory),7/20/2017,12:00 AM,7/20/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jamie Waylett (Vincent Crabbe),7/21/2017,12:00 AM,7/21/2017,12:00 AM,TRUE,,,FALSE
Birthday of Rhys Ifans (Xenophilius Lovegood),7/22/2017,12:00 AM,7/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Daniel Radcliffe (Harry Potter),7/23/2017,12:00 AM,7/23/2017,12:00 AM,TRUE,,,FALSE
Birthday of David Heyman (Producer of Harry Potter),7/26/2017,12:00 AM,7/26/2017,12:00 AM,TRUE,,,FALSE
Birthday of Rade Sherbedgia (Gregorovich),7/27/2017,12:00 AM,7/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of Frances de la Tour (Madame Maxime),7/30/2017,12:00 AM,7/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Neville Longbottom,7/30/2017,12:00 AM,7/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of J.K. Rowling (author),7/31/2017,12:00 AM,7/31/2017,12:00 AM,TRUE,,,FALSE
Birthday of Richard Griffiths (Vernon Dursley),7/31/2017,12:00 AM,7/31/2017,12:00 AM,TRUE,,,FALSE
Birthday of Harry Potter,7/31/2017,12:00 AM,7/31/2017,12:00 AM,TRUE,,,FALSE
Birthday of John Atterbury (Phineas Nigellus Black),8/4/2017,12:00 AM,8/4/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ray Fearon (Voice of Firenze),8/5/2017,12:00 AM,8/5/2017,12:00 AM,TRUE,,,FALSE
Birthday of Katie Leung (Cho Chang),8/8/2017,12:00 AM,8/8/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ginny Weasley,8/11/2017,12:00 AM,8/11/2017,12:00 AM,TRUE,,,FALSE
Birthday of Evanna Lynch (Luna Lovegood),8/16/2017,12:00 AM,8/16/2017,12:00 AM,TRUE,,,FALSE
Birthday of Helen McCrory (Narcissa Malfoy),8/17/2017,12:00 AM,8/17/2017,12:00 AM,TRUE,,,FALSE
Birthday of Celestina Warbeck,8/18/2017,12:00 AM,8/18/2017,12:00 AM,TRUE,,,FALSE
Birthday of Tina Goldstein [FBAWTFT],8/19/2017,12:00 AM,8/19/2017,12:00 AM,TRUE,,,FALSE
Birthday of Robert Knox (Marcus Belby),8/21/2017,12:00 AM,8/21/2017,12:00 AM,TRUE,,,FALSE
Birthday of Mark Williams (Arthur Weasley),8/22/2017,12:00 AM,8/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Percy Weasley,8/22/2017,12:00 AM,8/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Rupert Grint (Ron Weasley),8/24/2017,12:00 AM,8/24/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jimmy Gardner (Ernie Prang),8/24/2017,12:00 AM,8/24/2017,12:00 AM,TRUE,,,FALSE
Birthday of Angelica Mandy (Gabrielle Delacour),8/25/2017,12:00 AM,8/25/2017,12:00 AM,TRUE,,,FALSE
Birthday of Simon McBurney (Kreacher),8/25/2017,12:00 AM,8/25/2017,12:00 AM,TRUE,,,FALSE
Birthday of Dolores Umbridge,8/26/2017,12:00 AM,8/26/2017,12:00 AM,TRUE,,,FALSE
Birthday of Lenny Henry (Shrunken Head),8/29/2017,12:00 AM,8/29/2017,12:00 AM,TRUE,,,FALSE
Birthday of Peter Cartwright (Elphias Doge),8/30/2017,12:00 AM,8/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Hugh Mitchell (Colin Creevey),9/7/2017,12:00 AM,9/7/2017,12:00 AM,TRUE,,,FALSE
Birthday of Toby Jones (Voice of Dobby),9/7/2017,12:00 AM,9/7/2017,12:00 AM,TRUE,,,FALSE
Birthday of Joshua Herdman (Gregory Goyle),9/9/2017,12:00 AM,9/9/2017,12:00 AM,TRUE,,,FALSE
Birthday of Chris Columbus (Director of first two Harry Potter films),9/10/2017,12:00 AM,9/10/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jarvis Cocker (Myron Wagtail),9/16/2017,12:00 AM,9/16/2017,12:00 AM,TRUE,,,FALSE
Birthday of Elizabeth Spriggs (The Fat Lady),9/18/2017,12:00 AM,9/18/2017,12:00 AM,TRUE,,,FALSE
Birthday of Hermione Granger,9/19/2017,12:00 AM,9/19/2017,12:00 AM,TRUE,,,FALSE
Birthday of Tom Felton (Draco Malfoy),9/22/2017,12:00 AM,9/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Kate Fleetwood (Mary Cattermole),9/24/2017,12:00 AM,9/24/2017,12:00 AM,TRUE,,,FALSE
Birthday of Garrick Ollivander,9/25/2017,12:00 AM,9/25/2017,12:00 AM,TRUE,,,FALSE
Birthday of Sian Thomas (Amelia Bones),9/26/2017,12:00 AM,9/26/2017,12:00 AM,TRUE,,,FALSE
Birthday of Quirinus Quirrell,9/26/2017,12:00 AM,9/26/2017,12:00 AM,TRUE,,,FALSE
Birthday of Margery Mason (Hogwarts Trolley Lady),9/27/2017,12:00 AM,9/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ezra Miller (Credence Barebone in FBAWTFT),9/30/2017,12:00 AM,9/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Richard Harris (Albus Dumbledore in PS/CoS),10/1/2017,12:00 AM,10/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Louis Cordice (Blaise Zabini),10/1/2017,12:00 AM,10/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Will Theakston (Marcus Flint),10/4/2017,12:00 AM,10/4/2017,12:00 AM,TRUE,,,FALSE
Birthday of Minerva McGonagall,10/4/2017,12:00 AM,10/4/2017,12:00 AM,TRUE,,,FALSE
Birthday of Tiana Benjamin (Angelina Johnson),10/5/2017,12:00 AM,10/5/2017,12:00 AM,TRUE,,,FALSE
Birthday of Scarlett Byrne (Pansy Parkinson),10/6/2017,12:00 AM,10/6/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ian Hart (Professor Quirrell),10/8/2017,12:00 AM,10/8/2017,12:00 AM,TRUE,,,FALSE
Birthday of Dawn French (The Fat Lady),10/11/2017,12:00 AM,10/11/2017,12:00 AM,TRUE,,,FALSE
Birthday of Eleanor Columbus (Susan Bones),10/12/2017,12:00 AM,10/12/2017,12:00 AM,TRUE,,,FALSE
Birthday of Dave Legeno (Fenrir Greyback),10/12/2017,12:00 AM,10/12/2017,12:00 AM,TRUE,,,FALSE
Birthday of Guy Henry (Pius Thicknesse),10/17/2017,12:00 AM,10/17/2017,12:00 AM,TRUE,,,FALSE
Birthday of Filius Flitwick,10/17/2017,12:00 AM,10/17/2017,12:00 AM,TRUE,,,FALSE
Birthday of Michael Gambon (Albus Dumbledore in last six films),10/19/2017,12:00 AM,10/19/2017,12:00 AM,TRUE,,,FALSE
Birthday of George Harris (Kingsley Shackbolt),10/20/2017,12:00 AM,10/20/2017,12:00 AM,TRUE,,,FALSE
Birthday of Dan Fogler (Jacob Kowalski in FBAWTFT),10/20/2017,12:00 AM,10/20/2017,12:00 AM,TRUE,,,FALSE
Birthday of Carmen Ejogo (Seraphina Picquery in FBAWTFT),10/22/2017,12:00 AM,10/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of John Cleese (Nearly Headless Nick),10/27/2017,12:00 AM,10/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of James Yeates (Marcus Flint),10/27/2017,12:00 AM,10/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of Scot Fearn (Adrian Pacey),10/27/2017,12:00 AM,10/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of Devon Murray (Seamus Finnigan),10/28/2017,12:00 AM,10/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Robert Hardy (Cornelius Fudge),10/29/2017,12:00 AM,10/29/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jessica Hynes (Mafalda Hopkirk),10/30/2017,12:00 AM,10/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Molly Weasley,10/30/2017,12:00 AM,10/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Natalia Tena (Nymphadora Tonks),11/1/2017,12:00 AM,11/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Lavender Brown,11/1/2017,12:00 AM,11/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Peter Mullan (Yaxley),11/2/2017,12:00 AM,11/2/2017,12:00 AM,TRUE,,,FALSE
Birthday of Sirius Black    ,11/3/2017,12:00 AM,11/3/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jonny Greenwood (Kirley Duke),11/5/2017,12:00 AM,11/5/2017,12:00 AM,TRUE,,,FALSE
Birthday of Micheal Byrne (Gellert Grindelwald),11/7/2017,12:00 AM,11/7/2017,12:00 AM,TRUE,,,FALSE
Birthday of Chris Rankin (Percy Weasley) ,11/8/2017,12:00 AM,11/8/2017,12:00 AM,TRUE,,,FALSE
Birthday of Steve Mackey (Donaghan Tremlett),11/10/2017,12:00 AM,11/10/2017,12:00 AM,TRUE,,,FALSE
Birthday of Silvanus Kettleburn,11/22/2017,12:00 AM,11/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Shirley Henderson (Moaning Myrtle),11/24/2017,12:00 AM,11/24/2017,12:00 AM,TRUE,,,FALSE
Birthday of Peter Best (Walden Macnair),11/25/2017,12:00 AM,11/25/2017,12:00 AM,TRUE,,,FALSE
Birthday of Simon Fisher-Becker (The Fat Friar),11/25/2017,12:00 AM,11/25/2017,12:00 AM,TRUE,,,FALSE
Birthday of Alfonso Cuaron (Director of Prisoner of Azkaban),11/28/2017,12:00 AM,11/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Bill Weasley,11/29/2017,12:00 AM,11/29/2017,12:00 AM,TRUE,,,FALSE
Birthday of Clémence Poésy (Fleur Delacour),11/30/2017,12:00 AM,11/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Willian Melling (Nigel Wolpert),11/30/2017,12:00 AM,11/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of David Yates (Director of last four films),11/30/2017,12:00 AM,11/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Alfred Enoch (Dean Thomas),12/2/2017,12:00 AM,12/2/2017,12:00 AM,TRUE,,,FALSE
Birthday of Gemma Jones (Madam Pomfrey),12/4/2017,12:00 AM,12/4/2017,12:00 AM,TRUE,,,FALSE
Birthday of Edward Tudor-pole (Mr. Borgin),12/6/2017,12:00 AM,12/6/2017,12:00 AM,TRUE,,,FALSE
Birthday of Rubeus Hagrid,12/6/2017,12:00 AM,12/6/2017,12:00 AM,TRUE,,,FALSE
Birthday of Kenneth Branagh (Gilderoy Lockhart),12/10/2017,12:00 AM,12/10/2017,12:00 AM,TRUE,,,FALSE
Birthday of Bill Nighy (Rufus Scrimgeour),12/12/2017,12:00 AM,12/12/2017,12:00 AM,TRUE,,,FALSE
Birthday of Charlie Weasley,12/12/2017,12:00 AM,12/12/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ralph Ineson (Amycus Carrow),12/15/2017,12:00 AM,12/15/2017,12:00 AM,TRUE,,,FALSE
Birthday of James Payton (Frank Longbottom),12/18/2017,12:00 AM,12/18/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ralph Fiennes (Voldemort),12/22/2017,12:00 AM,12/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Nick Moran (Scabior),12/23/2017,12:00 AM,12/23/2017,12:00 AM,TRUE,,,FALSE
Birthday of Alison Sudol (Queenie Goldstein in FBAWTFT),12/23/2017,12:00 AM,12/23/2017,12:00 AM,TRUE,,,FALSE
Birthday of Maggie Smith (Professor McGonagall),12/28/2017,12:00 AM,12/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jon Voight (Henry Shaw Sr. in FBAWTFT),12/29/2017,12:00 AM,12/29/2017,12:00 AM,TRUE,,,FALSE
Birthday of Voldemort / Tom Riddle,12/31/2017,12:00 AM,12/31/2017,12:00 AM,TRUE,,,FALSE
Birthday of Verne Troyer (Griphook in SS),1/1/2018,12:00 AM,1/1/2018,12:00 AM,TRUE,,,FALSE
Birthday of Richard Leaf (John Dawlish),1/1/2018,12:00 AM,1/1/2018,12:00 AM,TRUE,,,FALSE
Birthday of Jim Norton (Mr. Mason),1/4/2018,12:00 AM,1/4/2018,12:00 AM,TRUE,,,FALSE
Birthday of David Ryall (Elphias Doge),1/5/2018,12:00 AM,1/5/2018,12:00 AM,TRUE,,,FALSE
Birthday of Eddie Redmayne (Newt Scamander in FBAWTFT),1/6/2018,12:00 AM,1/6/2018,12:00 AM,TRUE,,,FALSE
Birthday of Freddie Stroma (Cormac McLaggen),1/8/2018,12:00 AM,1/8/2018,12:00 AM,TRUE,,,FALSE
Birthday of Imelda Staunton (Dolores Umbridge),1/9/2018,12:00 AM,1/9/2018,12:00 AM,TRUE,,,FALSE
Birthday of Severus Snape,1/9/2018,12:00 AM,1/9/2018,12:00 AM,TRUE,,,FALSE
Birthday of Genevieve Gaunt (Pansy Parkinson),1/13/2018,12:00 AM,1/13/2018,12:00 AM,TRUE,,,FALSE
Birthday of Michelle Fairley (Mrs. Granger),1/17/2018,12:00 AM,1/17/2018,12:00 AM,TRUE,,,FALSE
Birthday of Alfie McIlwain (Young James Potter),1/18/2018,12:00 AM,1/18/2018,12:00 AM,TRUE,,,FALSE
Birthday of Louis Doyle (Ernie Macmillian),1/20/2018,12:00 AM,1/20/2018,12:00 AM,TRUE,,,FALSE
Birthday of Sitara Shah (Parvati Patil),1/21/2018,12:00 AM,1/21/2018,12:00 AM,TRUE,,,FALSE
Birthday of John Hurt (Mr. Ollivander),1/22/2018,12:00 AM,1/22/2018,12:00 AM,TRUE,,,FALSE
Birthday of Terence Bayler (The Bloody Baron),1/24/2018,12:00 AM,1/24/2018,12:00 AM,TRUE,,,FALSE
Birthday of Gilderoy Lockhart,1/26/2018,12:00 AM,1/26/2018,12:00 AM,TRUE,,,FALSE
Birthday of Lee Ingleby (Stan Shunpike),1/28/2018,12:00 AM,1/28/2018,12:00 AM,TRUE,,,FALSE
Birthday of Arben Bajraktaraj (Antonin Dolohov),1/29/2018,12:00 AM,1/29/2018,12:00 AM,TRUE,,,FALSE
Birthday of Tony Maudsley (Grawp),1/30/2018,12:00 AM,1/30/2018,12:00 AM,TRUE,,,FALSE
Birthday of Lily Evans Potter,1/30/2018,12:00 AM,1/30/2018,12:00 AM,TRUE,,,FALSE
Birthday of Warwick Davis (Griphook/Flitwick),2/3/2018,12:00 AM,2/3/2018,12:00 AM,TRUE,,,FALSE
Birthday of Arthur Weasley,2/6/2018,12:00 AM,2/6/2018,12:00 AM,TRUE,,,FALSE
Birthday of John Williams (Harry Potter Composer),2/8/2018,12:00 AM,2/8/2018,12:00 AM,TRUE,,,FALSE
Birthday of Carolyn Pickles (Professor Berbach),2/8/2018,12:00 AM,2/8/2018,12:00 AM,TRUE,,,FALSE
Birthday of Steffan Rhodri (Reg Cattermole),2/8/2018,12:00 AM,2/8/2018,12:00 AM,TRUE,,,FALSE
